1;0;0
2;157;157
3;314;315
4;471;472
5;629;629
6;786;786
7;943;944
8;1100;1101
9;1258;1258
10;1415;1415
11;1572;1573
12;1729;1730
13;1887;1887
14;2044;2044
15;2201;2202
16;2358;2359
17;2516;2516
18;2673;2673
19;2830;2831
20;2987;2988
21;3145;3145
22;3302;3302
23;3459;3460
24;3616;3617
25;3774;3774
26;3931;3931
27;4088;4089
28;4245;4246
29;4403;4403
30;4560;4560
31;4717;4718
32;4874;4875
33;5032;5032
34;5189;5189
35;5346;5347
36;5503;5504
37;5661;5661
38;5818;5818
39;5975;5976
40;6132;6133
41;6290;6290
42;6447;6447
43;6604;6605
44;6761;6762
45;6919;6919
46;7076;7076
47;7233;7234
48;7390;7391
49;7548;7548
50;7705;7705
51;7862;7863
52;8019;8020
53;8177;8177
54;8334;8334
55;8491;8492
56;8648;8649
57;8806;8806
58;8963;8963
59;9120;9121
60;9277;9278
61;9435;9435
62;9592;9592
63;9749;9750
64;9906;9907
65;10064;10064
66;10221;10221
67;10378;10379
68;10535;10536
69;10693;10693
70;10850;10850
71;11007;11008
72;11164;11165
73;11322;11322
74;11479;11479
75;11636;11637
76;11794;11794
77;11951;11951
78;12108;12109
79;12265;12266
80;12423;12423
81;12580;12580
82;12737;12738
83;12894;12895
84;13052;13052
85;13209;13209
86;13366;13367
87;13523;13524
88;13681;13681
89;13838;13838
90;13995;13996
91;14152;14153
92;14310;14310
93;14467;14467
94;14624;14625
95;14781;14782
96;14939;14939
97;15096;15096
98;15253;15254
99;15410;15411
100;15568;15568
101;15725;15725
102;15882;15883
103;16039;16040
104;16197;16197
105;16354;16354
106;16511;16512
107;16668;16669
108;16826;16826
109;16983;16983
110;17140;17141
111;17297;17298
112;17455;17455
113;17612;17612
114;17769;17770
115;17926;17927
116;18084;18084
117;18241;18241
118;18398;18399
119;18555;18556
120;18713;18713
121;18870;18870
122;19027;19028
123;19184;19185
124;19342;19342
125;19499;19499
126;19656;19657
127;19813;19814
128;19971;19971
129;20128;20128
130;20285;20286
131;20442;20443
132;20600;20600
133;20757;20757
134;20914;20915
135;21071;21072
136;21229;21229
137;21386;21386
138;21543;21544
139;21700;21701
140;21858;21858
141;22015;22015
142;22172;22173
143;22329;22330
144;22487;22487
145;22644;22644
146;22801;22802
147;22958;22959
148;23116;23116
149;23273;23273
150;23430;23431
151;23588;23588
152;23745;23745
153;23902;23903
154;24059;24060
155;24217;24217
156;24374;24374
157;24531;24532
158;24688;24689
159;24846;24846
160;25003;25003
161;25160;25161
162;25317;25318
163;25475;25475
164;25632;25632
165;25789;25790
166;25946;25947
167;26104;26104
168;26261;26261
169;26418;26419
170;26575;26576
171;26733;26733
172;26890;26890
173;27047;27048
174;27204;27205
175;27362;27362
176;27519;27519
177;27676;27677
178;27833;27834
179;27991;27991
180;28148;28148
181;28305;28306
182;28462;28463
183;28620;28620
184;28777;28777
185;28934;28935
186;29091;29092
187;29249;29249
188;29406;29406
189;29563;29564
190;29720;29721
191;29878;29878
192;30035;30035
193;30192;30193
194;30349;30350
195;30507;30507
196;30664;30664
197;30821;30822
198;30978;30979
199;31136;31136
200;31293;31293
201;31450;31451
202;31607;31608
203;31765;31765
204;31922;31922
205;32079;32080
206;32236;32237
207;32394;32394
208;32551;32551
209;32708;32709
210;32865;32866
211;33023;33023
212;33180;33180
213;33337;33338
214;33494;33495
215;33652;33652
216;33809;33809
217;33966;33967
218;34123;34124
219;34281;34281
220;34438;34438
221;34595;34596
222;34752;34753
223;34910;34910
224;35067;35068
225;35224;35225
226;35382;35382
227;35539;35539
228;35696;35697
229;35853;35854
230;36011;36011
231;36168;36168
232;36325;36326
233;36482;36483
234;36640;36640
235;36797;36797
236;36954;36955
237;37111;37112
238;37269;37269
239;37426;37426
240;37583;37584
241;37740;37741
242;37898;37898
243;38055;38055
244;38212;38213
245;38369;38370
246;38527;38527
247;38684;38684
248;38841;38842
249;38998;38999
250;39156;39156
251;39313;39313
252;39470;39471
253;39627;39628
254;39785;39785
255;39942;39942
256;40099;40100
257;40256;40257
258;40414;40414
259;40571;40571
260;40728;40729
261;40885;40886
262;41043;41043
263;41200;41200
264;41357;41358
265;41514;41515
266;41672;41672
267;41829;41829
268;41986;41987
269;42143;42144
270;42301;42301
271;42458;42458
272;42615;42616
273;42772;42773
274;42930;42930
275;43087;43087
276;43244;43245
277;43401;43402
278;43559;43559
279;43716;43716
280;43873;43874
281;44030;44031
282;44188;44188
283;44345;44345
284;44502;44503
285;44659;44660
286;44817;44817
287;44974;44974
288;45131;45132
289;45288;45289
290;45446;45446
291;45603;45603
292;45760;45761
293;45917;45918
294;46075;46075
295;46232;46232
296;46389;46390
297;46546;46547
298;46704;46704
299;46861;46862
300;47018;47019
301;47176;47176
302;47333;47333
303;47490;47491
304;47647;47648
305;47805;47805
306;47962;47962
307;48119;48120
308;48276;48277
309;48434;48434
310;48591;48591
311;48748;48749
312;48905;48906
313;49063;49063
314;49220;49220
315;49377;49378
316;49534;49535
317;49692;49692
318;49849;49849
319;50006;50007
320;50163;50164
321;50321;50321
322;50478;50478
323;50635;50636
324;50792;50793
325;50950;50950
326;51107;51107
327;51264;51265
328;51421;51422
329;51579;51579
330;51736;51736
331;51893;51894
332;52050;52051
333;52208;52208
334;52365;52365
335;52522;52523
336;52679;52680
337;52837;52837
338;52994;52994
339;53151;53152
340;53308;53309
341;53466;53466
342;53623;53623
343;53780;53781
344;53937;53938
345;54095;54095
346;54252;54252
347;54409;54410
348;54566;54567
349;54724;54724
350;54881;54881
351;55038;55039
