1;644;27805
2;642;42869
3;527;27869
4;585;27869
5;613;27869
6;538;27869
7;676;27869
8;706;27869
9;652;27869
10;613;27869
11;517;27869
12;456;27869
13;543;27869
14;613;27869
15;464;27869
16;629;27869
17;737;27869
18;621;27869
19;527;27869
20;933;27869
21;665;27869
22;574;27869
23;477;27869
24;650;27869
25;559;27869
26;743;27869
27;699;27869
28;701;27869
29;733;27869
30;696;27869
31;671;27869
32;653;27869
33;689;27869
34;832;27869
35;917;27869
36;941;27869
37;808;27869
38;736;27869
39;624;27869
40;725;27869
41;639;27869
42;615;27869
43;538;27869
44;702;27869
45;691;27869
46;723;27869
47;656;27869
48;810;27869
49;710;27869
50;927;27869
51;717;27869
52;700;27869
53;653;27869
54;647;27869
55;740;27869
56;837;27869
57;749;27869
58;622;27869
59;753;27869
60;672;27869
61;663;27869
62;751;27869
63;583;27869
64;668;27869
65;537;27869
66;795;27869
67;505;27869
68;705;27869
69;676;27869
70;567;27869
71;640;27869
72;545;27869
73;624;27869
74;655;27869
75;615;27869
76;639;27869
77;585;27869
78;515;27869
79;637;27869
80;491;27869
81;669;27869
82;740;27869
83;684;27869
84;515;27869
85;744;27869
86;750;27869
87;579;27869
88;744;27869
89;640;27869
90;666;27869
91;681;27869
92;809;27869
93;586;27869
94;672;27869
95;721;27869
96;698;27869
97;662;27869
98;651;27869
99;788;27869
100;673;27869
