1;497;31784
2;557;34958
3;653;38131
4;617;41305
5;739;44479
6;696;47653
7;662;50827
8;711;54001
9;1006;57176
10;773;60350
11;1034;63525
12;643;66700
13;784;69875
14;813;73050
15;1139;76225
16;971;79401
17;979;82576
18;850;85752
19;865;88928
20;851;92104
21;793;95280
22;784;98456
23;795;101633
24;970;104809
25;860;107986
26;910;111163
27;995;114340
28;1114;117517
29;884;120694
30;1049;123872
31;965;127049
32;1112;130227
33;1075;133405
34;1034;136583
35;1032;139761
36;1041;142939
37;1113;146118
38;1090;149296
39;1013;152475
40;1180;155654
41;1182;158833
42;1536;162012
43;1260;165191
44;1415;168370
45;1587;171550
46;1502;174729
47;1592;177909
48;1598;181089
49;1622;184269
50;1702;187449
51;1512;190630
52;1674;193810
53;1725;196991
54;1816;200172
55;1792;203353
56;1814;206534
57;1925;209715
58;1764;212896
59;1844;216078
60;1849;219259
61;2120;222441
62;2046;225623
63;2118;228805
64;1999;231987
65;2193;235170
66;2163;238352
67;2046;241535
68;2106;244717
69;2038;247900
70;2189;251083
71;2290;254266
72;2265;257450
73;2219;260633
74;2186;263817
75;2244;267001
76;2306;270184
77;2332;273368
78;2508;276553
79;2299;279737
80;2453;282921
81;2624;286106
82;2521;289291
83;2411;292476
84;2339;295661
85;2514;298846
86;2281;302031
87;2476;305216
88;2325;308402
89;2376;311588
90;2437;314773
91;2645;317959
92;2428;321146
93;2526;324332
94;2941;327518
95;2841;330705
96;2556;333891
97;2840;337078
98;2904;340265
99;2765;343452
100;3055;346660
